LithicType,Length_mm_,Width_mm_,Thickness_mm_,Freq1_dry_Hz,Freq1_wet_Hz
obsidian,71,38,9,10032.1088769177,6266.35072173206
obsidian,107,81,21,10306.6650927241,6847.17833047756
obsidian,91,66,19,12892.5030004737,8780.38395193736
obsidian,72,57,17,17723.5793287775,12286.15764259
obsidian,30,26,7,38398.4153059668,26170.6550575667
obsidian,63,45,12,16988.9513222616,11305.6811622636
obsidian,30,15,5,31217.1980546557,21372.773352644
obsidian,55,32,23,42723.7024615784,34869.7885340759
obsidian,135,73,26,8016.26814243011,5618.19918134784
obsidian,36,30,6,23770.4475703604,14811.7661020502
obsidian,32,31,7,30192.3023575142,19889.1175023344
obsidian,37,27,13,53358.8337822457,41031.0440284727
obsidian,34,24,9,43747.2844710573,31762.6557082781
obsidian,30,24,6,35655.6713555406,23604.5923460594
obsidian,29,19,3,20044.3364441309,11223.1096403964
obsidian,104,94,19,8315.76623267518,5255.19569122169
